jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2447238.93218577,1988.2106288453663,26904.11044183435,0.7385243,62.8475,79.4404,287.9964,656.6348106559453,11.150415668159951,17146.220653998687
2447260.78841984,1988.2704679530182,26903.03523504158,0.7395199,62.9013,76.152,288.0806,629.5690083271547,346.4041369134199,17113.79776077723
2447263.32971839,1988.277425649254,26903.597986737695,0.739576,62.9068,75.7704,288.0931,628.2063020981768,343.5302662685695,17112.364767583935
2447270.9544119,1988.2983009223824,26904.86280404181,0.7395669,62.9202,74.6288,288.1375,628.7805251313002,334.9179679423703,17113.459817438154
2447276.03757752,1988.312217871376,26903.99246833337,0.7394871,62.9352,73.8624,288.1592,630.7007995036856,329.1631663046,17115.45370206339
2447288.74463329,1988.3470078940177,26903.54720751348,0.7397582,62.9613,71.9644,288.222,623.29125166828,314.8035581536073,17106.51389164788
2447298.40258827,1988.3734499336622,26904.85915698229,0.7398945,62.9801,70.5307,288.259,619.9655434564565,303.88772388158736,17102.9932134045
2447316.70059434,1988.4235471439836,26904.17681389333,0.74053,63.0323,67.7934,288.3761,602.6904579009015,283.2325281659278,17082.233733781555
2447332.4579031,1988.4666883041757,26902.908704288435,0.7407161,63.0677,65.4184,288.4283,597.3547901918519,265.3789104967445,17075.469924483772
2447346.69004692,1988.5056537903354,26905.19523870796,0.7409805,63.0945,63.2732,288.484,590.8339181325146,249.26183547928485,17068.44952384767
2447360.41388843,1988.5432276206166,26902.708610060596,0.7411447,63.1242,61.1985,288.5558,585.772408069819,233.73235657801382,17061.608244925428
2447366.51332212,1988.5599269599454,26903.83611441108,0.7412098,63.1283,60.2664,288.5883,584.312828815665,226.82099441964613,17060.23563763605
2447394.97805861,1988.6378591611501,26904.557275915537,0.7415714,63.228,55.9467,288.6554,574.7707704346658,194.51280198592707,17049.089788338722
2447411.24389636,1988.6823925978372,26902.785183266402,0.7418453,63.3043,53.4775,288.7163,566.9441381505821,176.0724647786019,17039.170699111808
2447443.7746097,1988.7714568369606,26903.71695874894,0.7423185,63.345,48.5236,288.7872,554.4538415058651,139.12633869419756,17024.54809553491
2447454.95755745,1988.8020740792608,26904.28211655758,0.7425388,63.3678,46.8211,288.8036,548.6724588674533,126.41803146607089,17017.816431913954
2447475.79715181,1988.8591297790829,26904.74928989361,0.7427078,63.4248,43.6758,288.8435,544.245835245164,102.77257953016084,17012.67046154438
2447486.97958763,1988.8897456197944,26902.575428675627,0.7429355,63.4709,42.0023,288.8517,537.5608012847861,90.08557687401725,17003.960934830404
2447496.12828311,1988.9147933829158,26903.558603189264,0.7430388,63.4903,40.6004,288.8737,535.0344029458365,79.68848215032591,17001.25309490165
