norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct,zepoch,rms_fit
42928,1, 0.321545,  75.050, 2458593.7067,    9.168, 0, 2458555.3358,   55.68,    1.871, 2458019.6716,        1.7196
42928,2, 0.295769, 105.389, 2458482.8675,  -14.078, 2, 2458555.3358,   55.68,    1.871, 2458100.6070,        9.0221
42928,3, 0.287879,  67.769, 2458484.1637,  -14.450, 0, 2458555.3358,   55.68,    1.871, 2458121.0224,        2.2472
42928,4, 0.280543,  82.332, 2458647.8398,   25.306, 0, 2458555.3358,   55.68,    1.871, 2458141.0908,        0.9289
42928,5, 0.274901,  93.709, 2458567.7799,    5.799, 2, 2458555.3358,   55.68,    1.871, 2458161.3156,        8.0469
42928,6, 0.226700,  99.397, 2458580.3705,   13.389, 2, 2458555.3358,   55.68,    1.871, 2458285.0495,        3.9470
42928,7, 0.140300,  59.805, 2458534.7849,  -10.971, 2, 2458555.3358,   55.68,    1.871, 2458447.8303,        5.4856
42928,8, 0.084868, 120.730, 2458542.8917,  -15.989, 2, 2458555.3358,   55.68,    1.871, 2458529.1874,      176.4446
35497,1, 0.605195,  55.452,       0.0000,    0.000, 0, 2457689.9242,  316.79,   -0.605, 2457266.9768,        0.9595
35497,2, 0.602966,  86.817,       0.0000,    0.000, 2, 2457689.9242,  316.79,   -0.605, 2457348.1694,       11.9975
35497,3, 0.602432,  63.293,       0.0000,    0.000, 0, 2457689.9242,  316.79,   -0.605, 2457368.4122,        1.7439
35497,4, 0.598133,  63.293,       0.0000,    0.000, 0, 2457689.9242,  316.79,   -0.605, 2457429.3251,        2.5975
35497,5, 0.582326,  71.135, 2458238.2957,  300.437, 0, 2457689.9242,  316.79,   -0.605, 2457510.8325,        4.7691
35497,6, 0.560209, 103.806, 2457698.8525,    5.249, 2, 2457689.9242,  316.79,   -0.605, 2457571.4778,      380.3316
35497,7, 0.477903, 120.141, 2457675.8464,  -28.426, 2, 2457689.9242,  316.79,   -0.605, 2457633.9141,      353.2522
35497,8, 0.320819, 144.645, 2457680.9959,  -81.644, 2, 2457689.9242,  316.79,   -0.605, 2457678.4094,     2575.4788
37151,1, 0.558167,  31.530,       0.0000,    0.000, 2, 2457307.2994,   57.60,   -6.903, 2456603.2714,        2.9705
37151,2, 0.530134,  31.530,       0.0000,    0.000, 2, 2457307.2994,   57.60,   -6.903, 2456765.4032,        9.7929
37151,3, 0.516731,  40.537, 2457260.0649,  -18.003, 0, 2457307.2994,   57.60,   -6.903, 2456807.1762,        5.8856
37151,4, 0.510167,  60.920, 2457241.1563,  -22.264, 0, 2457307.2994,   57.60,   -6.903, 2456827.9493,        2.3341
37151,5, 0.481457,  44.365, 2457307.2994,  -12.141, 2, 2457307.2994,   57.60,   -6.903, 2456929.5410,        5.5252
37151,6, 0.417045,  50.987,       0.0000,    0.000, 0, 2457307.2994,   57.60,   -6.903, 2457073.5033,        2.4541
37151,7, 0.367713,  79.794, 2457370.1656,    5.207, 2, 2457307.2994,   57.60,   -6.903, 2457154.6604,       10.3982
37151,8, 0.076531,  98.171, 2457359.3966,   -6.722, 2, 2457307.2994,   57.60,   -6.903, 2457357.9616,      300.1597
39615,1, 0.553000,  70.882, 2457607.1774,  -66.618, 0, 2458002.0575,  207.38,   -1.556, 2457404.5731,       19.0057
39615,2, 0.526487,  45.995, 2458187.0313,   30.977, 2, 2458002.0575,  207.38,   -1.556, 2457444.8533,       10.8144
39615,3, 0.494042,  51.070,       0.0000,    0.000, 0, 2458002.0575,  207.38,   -1.556, 2457505.9671,        7.2617
39615,4, 0.483883,  64.701,       0.0000,    0.000, 0, 2458002.0575,  207.38,   -1.556, 2457527.8371,        4.6607
39615,5, 0.443204,  62.481, 2457910.5521,  -25.148, 0, 2458002.0575,  207.38,   -1.556, 2457610.0875,        6.2088
39615,6, 0.336375,  48.727, 2458129.6033,   59.768, 0, 2458002.0575,  207.38,   -1.556, 2457813.8961,        5.3521
39615,7, 0.301093,  53.639, 2457990.9998,  -13.077, 0, 2458002.0575,  207.38,   -1.556, 2457854.7396,        3.0734
39615,8, 0.115297,  47.499, 2458013.1153,   12.133, 2, 2458002.0575,  207.38,   -1.556, 2457998.1868,       62.7416
27526,1, 0.571299,  48.556,       0.0000,    0.000, 0, 2456056.9801,  161.61,    0.078, 2455440.8741,        1.1073
27526,2, 0.498763,  43.120, 2456439.5083,  111.494, 2, 2456056.9801,  161.61,    0.078, 2455712.9766,        4.3591
27526,3, 0.446106,  68.611, 2456064.4304,    3.600, 0, 2456056.9801,  161.61,    0.078, 2455836.1807,       12.9369
27526,4, 0.428615,  79.649, 2456127.2768,   35.342, 0, 2456056.9801,  161.61,    0.078, 2455856.2392,        4.5342
27526,5, 0.410133,  71.370, 2456046.6375,   -5.482, 0, 2456056.9801,  161.61,    0.078, 2455876.5828,        4.7963
27526,6, 0.389901,  59.872, 2456043.3482,   -8.227, 2, 2456056.9801,  161.61,    0.078, 2455896.6431,       24.9473
27526,7, 0.380633,  88.618, 2455985.6490,  -50.676, 2, 2456056.9801,  161.61,    0.078, 2455916.6893,      237.2090
27526,8, 0.133829,  87.928, 2456056.9801,    3.113, 0, 2456056.9801,  161.61,    0.078, 2456041.0769,       67.2629
32007,1, 0.285371,  48.831, 2455180.7648,  -18.120, 0, 2455275.1400,   93.90,   -8.220, 2454400.1894,        1.4158
32007,2, 0.278559,  38.258, 2455459.2963,   11.592, 0, 2455275.1400,   93.90,   -8.220, 2454440.7954,        0.9235
32007,3, 0.265876,  35.546, 2455215.6753,  -16.565, 0, 2455275.1400,   93.90,   -8.220, 2454521.4854,        0.9165
32007,4, 0.226415,  35.546, 2455260.3534,  -15.817, 0, 2455275.1400,   93.90,   -8.220, 2454764.5833,        0.8555
32007,5, 0.202093,  39.783, 2455185.1376,  -37.745, 2, 2455275.1400,   93.90,   -8.220, 2454907.4498,       23.4273
32007,6, 0.195504,  35.546, 2455307.0727,  -10.902, 0, 2455275.1400,   93.90,   -8.220, 2454927.6483,        2.5782
32007,7, 0.163069,  38.724, 2455289.9266,  -24.116, 2, 2455275.1400,   93.90,   -8.220, 2455089.8858,       16.8706
32007,8, 0.059986,  40.122, 2455351.3606,  -11.199, 2, 2455275.1400,   93.90,   -8.220, 2455334.3974,      137.9460
37819,1, 0.410272,  41.735, 2456527.6759,   -4.833, 2, 2456493.5405,   34.66,  -13.155, 2456137.3115,        4.6118
37819,2, 0.376722,  38.231, 2456509.4443,  -11.556, 2, 2456493.5405,   34.66,  -13.155, 2456218.1813,        5.8725
37819,3, 0.355281,  31.053, 2456477.6366,  -24.210, 2, 2456493.5405,   34.66,  -13.155, 2456258.9263,       22.5042
37819,4, 0.343599,  53.036, 2456534.8798,   -4.699, 2, 2456493.5405,   34.66,  -13.155, 2456278.9393,       14.1518
37819,5, 0.323549,  31.792, 2456464.6591,  -36.338, 2, 2456493.5405,   34.66,  -13.155, 2456319.5256,       41.4958
37819,6, 0.295992,  33.609, 2456467.0374,  -42.983, 2, 2456493.5405,   34.66,  -13.155, 2456360.3056,       57.1081
37819,7, 0.278667,  31.978, 2456474.8524,  -43.547, 2, 2456493.5405,   34.66,  -13.155, 2456380.6738,       59.3976
37819,8, 0.038539,  79.214, 2456549.6064,   54.853, 2, 2456493.5405,   34.66,  -13.155, 2456543.6600,       55.3826
