norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct
42928,1, 0.278951,  81.064, 2458810.0862,   65.984, 0, 2458610.7542,  104.08,   16.273
42928,2, 0.272745,  75.599, 2458680.6592,   35.500, 0, 2458610.7542,  104.08,   16.273
42928,3, 0.269272,  63.563, 2458640.2837,   25.572, 2, 2458610.7542,  104.08,   16.273
42928,4, 0.261651,  58.020, 2458477.5368,  -19.406, 0, 2458610.7542,  104.08,   16.273
42928,5, 0.235761,  69.570, 2458629.8979,   29.294, 2, 2458610.7542,  104.08,   16.273
42928,6, 0.211953,  55.930, 2458573.1138,   12.229, 2, 2458610.7542,  104.08,   16.273
42928,7, 0.163990,  52.578, 2458537.1910,   -6.271, 0, 2458610.7542,  104.08,   16.273
42928,8, 0.133710,  48.412, 2458537.2654,   -9.147, 0, 2458610.7542,  104.08,   16.273
35497,1, 0.598966,  72.154,       0.0000,    0.000, 0, 2458031.3824,  281.18,  122.006
35497,2, 0.594540,  71.018, 2458289.4125,  253.044, 0, 2458031.3824,  281.18,  122.006
35497,3, 0.579138,  55.232, 2458320.6127,  361.766, 0, 2458031.3824,  281.18,  122.006
35497,4, 0.575084,  54.594, 2458241.4522,  336.234, 0, 2458031.3824,  281.18,  122.006
35497,5, 0.565111,  61.156, 2458140.2730,  312.995, 2, 2458031.3824,  281.18,  122.006
35497,6, 0.544590,  73.144, 2457852.1597,  142.173, 2, 2458031.3824,  281.18,  122.006
35497,7, 0.496012,  92.183, 2457683.7417,  -12.369, 2, 2458031.3824,  281.18,  122.006
35497,8, 0.379038,  96.026, 2457692.0252,   -1.375, 0, 2458031.3824,  281.18,  122.006
37151,1, 0.574977,  58.978,       0.0000,    0.000, 0, 2457443.3114,  160.89,    8.179
37151,2, 0.532058,  27.249,       0.0000,    0.000, 2, 2457443.3114,  160.89,    8.179
37151,3, 0.509314,  68.870, 2457343.0118,   -3.124, 0, 2457443.3114,  160.89,    8.179
37151,4, 0.499094,  47.583,       0.0000,    0.000, 0, 2457443.3114,  160.89,    8.179
37151,5, 0.486259,  33.927, 2457380.9998,    4.829, 2, 2457443.3114,  160.89,    8.179
37151,6, 0.483117,  38.716, 2457389.1220,    6.807, 0, 2457443.3114,  160.89,    8.179
37151,7, 0.461858,  38.676, 2457729.4188,   96.845, 0, 2457443.3114,  160.89,    8.179
37151,8, 0.317994,  47.923, 2457374.0048,   10.042, 2, 2457443.3114,  160.89,    8.179
39615,1, 0.547882,  96.882, 2457646.7609,  -60.983, 0, 2458029.5716,  229.86,    3.022
39615,2, 0.526663,  80.273, 2458431.9086,   74.192, 0, 2458029.5716,  229.86,    3.022
39615,3, 0.469382,  66.834,       0.0000,    0.000, 2, 2458029.5716,  229.86,    3.022
39615,4, 0.441874,  65.840, 2457992.2124,   -4.817, 2, 2458029.5716,  229.86,    3.022
39615,5, 0.330490,  63.654, 2458105.3233,   49.518, 0, 2458029.5716,  229.86,    3.022
39615,6, 0.312894,  52.893, 2458009.9565,   -0.913, 2, 2458029.5716,  229.86,    3.022
39615,7, 0.302425,  42.920, 2457997.3553,   -8.923, 0, 2458029.5716,  229.86,    3.022
39615,8, 0.281159,  35.469, 2458023.4840,    8.729, 2, 2458029.5716,  229.86,    3.022
27526,1, 0.564926,  53.140,       0.0000,    0.000, 0, 2456184.1623,  270.71,   21.985
27526,2, 0.511741,  42.197,       0.0000,    0.000, 0, 2456184.1623,  270.71,   21.985
27526,3, 0.494987,  53.461, 2456734.9092,  203.428, 0, 2456184.1623,  270.71,   21.985
27526,4, 0.407806,  49.144, 2456073.9291,    9.796, 0, 2456184.1623,  270.71,   21.985
27526,5, 0.360516,  31.158, 2456065.7244,    6.742, 2, 2456184.1623,  270.71,   21.985
27526,6, 0.347850,  33.556, 2456057.2476,    0.590, 0, 2456184.1623,  270.71,   21.985
27526,7, 0.305485,  40.155, 2456116.2304,   62.693, 0, 2456184.1623,  270.71,   21.985
27526,8, 0.119189,  37.309, 2456056.9329,    3.473, 0, 2456184.1623,  270.71,   21.985
32007,1, 0.288062,  62.167,       0.0000,    0.000, 0, 2455426.4496,  220.44,    7.494
32007,2, 0.253781,  54.244, 2455914.4998,   72.915, 0, 2455426.4496,  220.44,    7.494
32007,3, 0.251407,  47.189, 2455296.3232,   -7.535, 0, 2455426.4496,  220.44,    7.494
32007,4, 0.222860,  31.363, 2455268.9059,  -14.761, 2, 2455426.4496,  220.44,    7.494
32007,5, 0.181962,  37.834, 2455368.6416,    4.115, 0, 2455426.4496,  220.44,    7.494
32007,6, 0.141314,  41.948, 2455410.5286,   28.185, 0, 2455426.4496,  220.44,    7.494
32007,7, 0.138159,  37.474, 2455365.3723,    6.198, 2, 2455426.4496,  220.44,    7.494
32007,8, 0.109343,  33.789, 2455360.8760,    6.877, 0, 2455426.4496,  220.44,    7.494
37819,1, 0.446050,  74.089, 2456302.2476,  -46.319, 0, 2456484.4183,   74.32,  -11.914
37819,2, 0.342247,  72.578, 2456509.5099,  -14.446, 0, 2456484.4183,   74.32,  -11.914
37819,3, 0.317261,  68.350, 2456498.3612,  -22.141, 0, 2456484.4183,   74.32,  -11.914
